wikidata_id,name
Q1957424,Märkisch-Posener Eisenbahn
Q1957436,Märkische Eisenbahngesellschaft
Q1957439,Märkische Museums-Eisenbahn
Q1957453,Märkische Verkehrsgesellschaft
Q1903399,Martin Becker (Verkehrsbetrieb)
Q79600987,Martin Geldhauser Omnibusunternehmenim Linien- und Reiseverkehr GmbH & Co. KG
Q1915678,Mecklenburg-Pommersche Schmalspurbahn
Q15834666,Mecklenburg-Vorpommersche Verkehrsgesellschaft
Q28053964,Mecklenburgische Bäderbahn Molli GmbH
Q1915712,Mecklenburgische Eisenbahngesellschaft
Q1747622,Mecklenburgische Friedrich-Wilhelm-Eisenbahn-Gesellschaft
Q1918107,Meininger Busbetrieb
Q121747274,Menath Transporte
Q15834884,Merseburger Überlandbahnen
Q265228,metronom Eisenbahngesellschaft
Q897181,Metropolitan
Q96472476,miabus Verkehrsgesellschaft mbH
Q1936388,Mindener Kreisbahnen
Q15835383,Mitteldeutsche Eisenbahn
Q114792862,Mittelfränkische Eisenbahnbetriebsgesellschaft
Q1940487,Mittelweserbahn
Q106886801,MKB-MühlenkreisBus
Q1941281,moBiel GmbH
Q96633585,mobus Märkisch-Oderland Bus
Q105529133,MOIA
Q1949071,Moselbahn GmbH
Q1949801,Motorbootgesellschaft Bodman
Q1022390,MSR Flug-Charter
Q1958760,Müller Busreisen
Q1958856,München-Augsburger Eisenbahn-Gesellschaft
Q63436869,Münchner Linien
Q456402,Münchner Verkehrsgesellschaft mbH (MVG)
Q1959090,Münster-Hammer Eisenbahn-Gesellschaft
Q76636429,Museum für feldspurige Industriebahnen Osnabrück-Piesberg
Q106839037,Museumseisenbahn Ammerland-Barßel-Saterland
Q1686099,Museumseisenbahn Hamm
Q76636182,Museumseisenbahn Hasetal
Q131198313,Museumseisenbahn Hümmlinger Kreisbahn
Q66307299,Museumseisenbahn Küstenbahn Ostfriesland
Q1963771,Nahverkehr Göttingen
Q1963773,Nahverkehr Hohenlohekreis
Q1231470,Nahverkehr Schwerin
Q43402669,Nahverkehr-Service GmbH
Q125271080,Nahverkehrsgesellschaft des Landkreises Gotha
Q133283147,Nahverkehrsgesellschaft Jerichower Land
Q1965938,Nassauische Kleinbahn
Q880836,Nassauische Staatsbahn
Q1965950,Nassauische Touristik-Bahn
Q1965954,Nassauische Verkehrs-GmbH
Q1997636,NBE nordbahn Eisenbahngesellschaft mbH & Co. KG
Q1647244,Neißeverkehr
Q558401,Netinera
Q1979679,Neue Pellwormer Dampfschiffahrtsgesellschaft
Q1699303,Neunkircher Verkehrs-Gesellschaft
Q1981648,Neusser Eisenbahn
Q875834,Neustadt-Dürkheimer Eisenbahn-Gesellschaft
Q1169616,NEW mobil und aktiv Mönchengladbach
Q1960042,NEW mobil und aktiv Viersen
Q1438506,Niederbarnimer Eisenbahn
Q1651552,Niederrheinische Verkehrsbetriebe
Q1988401,NiedersachsenBahn
Q1988453,Niederschlesische Verkehrsgesellschaft
Q105492413,NiO - Nahverkehr in Offenbach
Q314725,Nord-Ostsee-Bahn
Q1997402,Nord-Reederei
Q1997732,Norddeutsche Eisenbahngesellschaft Niebüll
Q1997787,Norddeutsche Reederei H. Schuldt
Q1544230,Norddeutsche Verkehrsbetriebe
Q478402,Nordhausen-Wernigeroder Eisenbahn-Gesellschaft
Q1998120,Nordic Rail Service
Q314293,NordWestBahn
Q612771,NSB Niederelbe Schiffahrtsgesellschaft
Q2009186,Oberbergische Verkehrsgesellschaft
Q2009431,Oberelbische Verkehrsgesellschaft Pirna-Sebnitz
Q2009804,Oberhavel Verkehrsgesellschaft
Q2009869,Oberhohndorf-Reinsdorfer Kohleneisenbahn
Q1696485,Oberlausitzer Eisenbahn
Q2010724,Oberrheinische Eisenbahn-Gesellschaft Aktiengesellschaft Mannheim
Q1375410,Ocholt-Westersteder Eisenbahngesellschaft
Q131862153,Öchsle Museumsschmalspurbahn
Q2014356,Odenwald-Regional-Gesellschaft
Q2095138,Offen Group
Q1639886,Offenbacher Verkehrs-Betriebe
Q2018609,Oldenburg-Portugiesische Dampfschiffs-Rhederei
Q1712071,Oldendorff Carriers
Q297031,Ölhandel- & Transportgesellschaft
Q68229462,Omnibus Bettighofer
Q2023443,Omnibus Dannenmann
Q84181974,Omnibus Melchinger
Q2023445,Omnibus Müller
Q67602987,Omnibus Neumeyr
Q2023439,Omnibus-Verkehr Aalen
Q2023441,Omnibus-Verkehr Ruoff
Q1500537,Omnibus-Verkehrs-Gesellschaft Bollmeyer
Q15837582,Omnibus-Verkehrsgesellschaft Heideland
Q1607156,Omnibusbetrieb Saalekreis
Q22674655,Omnibusbetrieb Sallwey
Q2023449,Omnibusbetriebe Beth
Q1254382,Omnibusverkehr Franken
Q2023455,Omnibusverkehr Göppingen
Q2023452,Omnibusverkehr Leupold
Q1320858,Omnibusverkehr Rhein-Nahe
Q15837581,Omnibusverkehr Zügel
